Name,"Short Name"
"Mega Jackpots Star Lanterns",mega_jackpots_star_lanterns
"Wolfpack Pays",wolfpack_pays
"Zeus III",zeus_iii
Beach,beach
"Diamond Mine",diamond_mine
"Adventure Palace",adventure_palace
Berryburst,berryburst
"Legends of Africa",legends_of_africa
"Wild North",wild_north
"Bulls Eye",bulls_eye
"Fantasini: Master of Mystery",fantasini_master_of_mystery
Hotline,hotline
"Frog Grog",frog_grog
"Tiger vs Bear",tiger_vs_bear
"Bingo Billions",bingo_billions
"Reel Steal",reel_steal
"Aladdin and the Sorcerer",aladdin_and_the_sorcerer
"Rage to Riches",rage_to_riches
"Viking's Treasure",vikings_treasure
"Aloha! Cluster Pays",aloha_cluster_pays
"Mad Mad Monkey",mad_mad_monkey
"Big Kahuna",big_kahuna
"Ivan and the Immortal King",ivan_and_the_immortal_king
"Golden Fish Tank",golden_fish_tank
Enchanted,enchanted
"Treasures of Troy",treasures_of_troy
"Mythic Maiden",mythic_maiden
"Genie's Touch",genies_touch
"Gorilla Go Wild",gorilla_go_wild
"The Wolf's Bane",the_wolfs_bane
"Mayan Gods",mayan_gods
"Break Away",break_away
"The Mask",the_mask
"Foxin’ Wins Again",foxin_wins_again
"Aztec Idols",aztec_idols
Jukepot,jukepot
"Wild Play SuperBet",wild_play_superbet
"Finn’s Golden Tavern",finns_golden_tavern
"Monster Smash",monster_smash
"Ticket to the Stars",ticket_to_the_stars
"Hunt for Gold",hunt_for_gold
"Wolf Run",wolf_run
"Ted Pub Fruit Series",ted_pub_fruit_series
"Arcade Bomb",arcade_bomb
"Jack Hammer 2",jack_hammer_2
"Demolition Squad",demolition_squad
"Jackpot Jamba",jackpot_jamba
"Astro Legends: Lyra and Erion",astro_legends_lyra_and_erion
"Chavin' it Large",chavin_it_large
Carnaval,carnaval
"Monopoly Big Event",monopoly_big_event
"NRVNA: The Nxt Xperience",nrvna_the_nxt_xperience
"Legacy of Ra Megaways",legacy_of_ra_megaways
"Jackpot Jester Wild Nudge",jackpot_jester_wild_nudge
"Cracker Jack",cracker_jack
Energoonz,energoonz
"Divine Fortune",divine_fortune
Gemtastic,gemtastic
"Crazy 80s",crazy_80s
"Nikola Tesla’s Incredible Machine",nikola_teslas_incredible_machine
"Dragon's Luck Stucks",dragons_luck_stacks
"Taco Brothers Saving Christmas",taco_brothers_saving_christmas
"Curious Machine",curious_machine
"Spring Break",spring_break
"Fruit Shop",fruit_shop
Transformers,transformers
Stardust,stardust
"Once Upon A Time",once_upon_a_time
"Untamed Bengal Tiger",untamed_bengal_tiger
"Double Wammy",double_wammy
"Tiki Fruits",tiki_fruits
Seasons,seasons
"Big Blox",big_blox
"James Dean",james_dean
"Apocalypse Cow",apocalypse_cow
"Pirate's Gold",pirates_gold
"Big Bad Wolf",big_bad_wolf
"Big Business",big_business
"Enchanting Spells",enchanting_spells
"Boom Pirates",boom_pirates
"Birds On A Wire",birds_on_a_wire
Simsalabim,simsalabim
"The Lab",the_lab
"Jungle Spirit: Call of the Wild",jungle_spirit_call_of_the_wild
"Reel Outlaws",reel_outlaws
"Barber Shop",barber_shop
"Amazon Queen",amazon_queen
"Thrill Spin",thrill_spin
Dallas,dallas
"Big 5",big_5
Dragonz,dragonz
"Big Bounty Bill",big_bounty_bill
"Agent Jane Blonde",agent_jane_blonde
"108 Heroes",108_heroes
"Happy Holidays",happy_holidays
"Persian Fortune",persian_fortune
"Thor's Lightning",thors_lightning
"Fruit Warp",fruit_warp
"Cool Buck",cool_buck
"Sugar Trail",sugar_trail
Motorhead,motorhead
"Surf Safari",surf_safari
"Black Gold Megaways",black_gold_megaways
Glow,glow
"Wheel of Fortune Ultra 5 Reels",wheel_of_fortune_ultra_5_reels
Reactoonz,reactoonz
"Rockys Gold",rockys_gold
"5 Reel Drive",5_reel_drive
"Win Sum Dim Sum",win_sum_dim_sum
"The Glam Life",the_glam_life
Spartacus,spartacus
"Greek Gods",greek_gods
Chibeasties,chibeasties
"Big Kahuna - Snakes and Ladders",big_kahuna_snakes_and_ladders
"Enchanted Mermaid",enchanted_mermaid
"Respin Circus",respin_circus
"Dragon Shrine",dragon_shrine
"Black Gold",black_gold
"Diamond Digger",diamond_digger
"Double Dragons",double_dragons
"Fire & Steel",fire_steel
"Hot Hot Volcano",hot_hot_volcano
"Jimi Hendrix",jimi_hendrix
"Win Win",win_win
"Fishy Fortune",fishy_fortune
Spellcast,spellcast
"Bangkok Nights",bangkok_nights
"Royal Spins",royal_spins
"Casino Island II",casino_island_ii
"Rainbow Ryan",rainbow_ryan
"Casino Win Spin",casino_win_spin
"Super Eighties",super_eighties
"Mega Jackpots: Siberian Storm",mega_jackpots_siberian_storm
Thunderfist,thunderfist
"Billion Dollar Gran",billion_dollar_gran
"7 Oceans",7_oceans
"Dazzle Me",dazzle_me
"Jungle Jim",jungle_jim
"Super Wilds",super_wilds
"Mr Toad",mr_toad
"Get Clucky",get_clucky
"Spin and Win",spin_and_win
"Immortal Romance",immortal_romance
"Huangdi The Yellow Emperor",huangdi_the_yellow_emperor
"Imperial Palace",imperial_palace
"Wizard of Oz - Road to Emerald City",wizard_of_oz_road_to_emerald_city
"Phoenix Sun",phoenix_sun
"Rocket Men",rocket_men
"Jurassic World",jurassic_world
